Wall time,Step,Value
1678190210.99405,51708,0.0
1678190218.159035,52411,0.0
1678190224.604091,52643,0.0
1678190505.722742,53401,0.0
1678190507.662168,53493,0.0
1678190508.395245,53504,0.0
1678190515.986054,54424,0.0
1678190556.791351,56342,0.0
1678190558.374204,56481,0.0
1678190567.460363,57422,0.0
1678190569.155211,57482,0.0
1678190570.871862,57680,0.0
1678190580.505005,58534,0.0
1678190583.471682,58757,0.0
1678190587.689009,59015,0.0
1678190594.992181,59831,0.0
1678190596.21677,59951,0.0
1678190597.241979,59987,0.0
1678190597.847593,60004,0.0
1678190601.052187,60405,0.0
1678190604.476686,60830,0.0
1678190622.48323,62432,0.0
1678190638.858993,64318,0.0
1678190646.239082,65134,0.0
1678190649.135286,65393,0.0
1678190655.322858,66097,0.0
1678190658.631104,66305,0.0
1678190665.611981,66942,0.0
1678190670.10308,67465,0.0
1678190677.090202,68045,0.0
1678190684.760821,68684,0.0
1678190712.528024,68694,0.0
1678190723.803453,69828,0.0
1678190725.100261,69940,0.0
1678190734.917925,70504,0.0
1678190747.161963,71004,0.0
1678190769.034497,71870,0.0
1678190788.745445,72588,0.0
1678190791.574979,72672,0.0
1678190792.662273,72686,0.0
1678190798.2449,72877,0.0
1678190806.227127,73122,0.0
1678190811.027336,73309,0.0
1678190831.171263,74131,0.0
1678190849.989956,74861,0.0
1678190857.1752,75104,0.0
1678190879.154583,75970,0.0
1678190890.525601,76334,0.0
1678190892.888047,76395,0.0
1678190918.612039,77326,0.0
1678190919.641001,77343,0.0
1678190936.618386,78033,0.0
1678190945.993095,78302,0.0
1678190961.346472,78872,0.0
1678190962.301376,78881,0.0
1678190978.203054,79316,0.0
1678190983.50879,79513,0.0
1678191006.0473,80318,0.0
1678191007.495998,80338,0.0
1678191009.143018,80371,0.0
1678191026.097443,80945,0.0
1678191075.136537,81704,0.0
1678191116.909926,83172,0.0
1678191118.837547,83227,0.0
1678191126.35501,83381,0.0
1678191130.809193,83537,0.0
1678191140.817857,83940,0.0
1678191142.827934,83981,0.0
1678191159.130851,84596,0.0
1678191160.335745,84614,0.0
1678191164.13406,84738,0.0
1678191227.97332,86736,0.0
1678191231.042515,86833,0.0
1678191245.064278,87365,0.0
1678191246.330513,87390,0.0
1678191250.422852,87535,0.0
1678191264.515972,88088,0.0
1678191266.29352,88107,0.0
1678191281.096973,88685,0.0
1678191295.773568,89256,0.0
1678191301.218334,89455,0.0
1678191317.515322,90071,0.0
1678191325.954361,90390,0.0
1678191338.715444,90819,0.0
1678191343.50441,90838,0.0
1678191358.809668,91311,0.0
1678191368.524432,91708,0.0
1678191384.754991,92284,0.0
1678191396.917546,92702,0.0
1678191409.305006,93217,0.0
1678191419.227407,93439,0.0
1678191444.671343,99849,0.0
1678191452.310568,100180,0.0
1678191458.274454,100559,0.0
1678191464.898257,101129,0.0
1678191467.251751,101208,0.0
1678191474.863308,101848,0.0
1678191518.76267,102323,0.0
1678191527.813235,102951,0.0
1678191530.311905,103052,0.0
1678191538.426057,103560,0.0
1678191541.44864,103671,0.0
1678191547.90989,103910,0.0
1678191559.068416,104300,0.0
1678191568.102512,104682,0.0
