Wall time,Step,Value
1678189196.171614,10486,0.0
1678189198.757067,10597,0.0
1678189214.136807,11229,0.0
1678189215.399961,11278,0.0
1678189223.955775,11629,0.0
1678189224.46962,11651,0.0
1678189226.475584,11728,0.0
1678189230.233188,11882,0.0
1678189231.112836,11915,0.0
1678189235.245707,12072,0.0
1678189236.825569,12137,0.0
1678189284.02396,14103,0.0
1678189306.692248,15053,0.0
1678189308.20564,15113,0.0
1678189312.803674,15307,0.0
1678189317.400195,15491,0.0
1678189320.48824,15608,0.0
1678189335.955557,16237,0.0
1678189347.352288,16707,0.0
1678189355.663089,17042,0.0
1678189357.486435,17115,0.0
1678189360.707754,17243,0.0
1678189369.207735,17582,0.0
1678189369.909552,17608,0.0
1678189372.323108,17709,0.0
1678189376.273588,17860,0.0
1678189377.773723,17920,0.0
1678189393.10689,18544,0.0
1678189406.383083,19076,0.0
1678189430.114957,20010,0.0
1678189485.364764,22255,0.0
1678189501.168435,22703,0.0
1678189517.233088,23353,0.0
1678189525.221364,23689,0.0
1678189526.455809,23736,0.0
1678189551.421696,24767,0.0
1678189574.582012,25709,0.0
1678189591.351654,26406,0.0
1678189591.786157,26423,0.0
1678189608.293324,27084,0.0
1678189625.723105,27803,0.0
1678189647.556749,28686,0.0
1678189648.003672,28702,0.0
1678189672.904066,29774,0.0
1678189684.202374,30257,0.0
1678189684.704792,30274,0.0
1678189701.188004,30965,0.0
1678189734.065415,32343,0.0
1678189747.721195,32888,0.0
1678189752.951668,33098,0.0
1678189758.732067,33347,0.0
1678189800.580004,35088,0.0
1678189802.295422,35163,0.0
1678189803.91936,35229,0.0
1678189837.721628,36639,0.0
1678189874.921674,38150,0.0
1678189880.959845,38402,0.0
1678189883.90909,38528,0.0
1678189889.088561,38728,0.0
1678189889.85479,38767,0.0
1678189890.88483,38807,0.0
1678189900.482701,39167,0.0
1678189914.52665,39327,0.0
1678189926.776697,39827,0.0
1678189934.363717,40143,0.0
1678189935.180648,40175,0.0
1678189938.581839,40305,0.0
1678189945.886887,40599,0.0
1678189958.025407,41101,0.0
1678189962.471356,41276,0.0
1678189981.830427,42057,0.0
1678189984.237319,42148,0.0
1678189986.037063,42215,0.0
1678189994.098395,42536,0.0
1678190006.339964,43044,0.0
1678190031.738616,44031,0.0
1678190040.429381,44353,0.0
1678190042.210594,44416,0.0
1678190044.17684,44493,0.0
1678190072.763384,45529,0.0
1678190074.535581,45598,0.0
1678190078.750575,45767,0.0
1678190111.048749,47002,0.0
1678190116.136042,47187,0.0
1678190120.586676,47356,0.0
1678190125.375158,47533,0.0
1678190141.078893,48136,0.0
1678190147.539851,48377,0.0
1678190156.010204,48704,0.0
1678190174.983161,49413,0.0
1678190186.095104,50027,0.0
1678190188.628718,50149,0.0
1678190190.531693,50236,0.0
1678190210.99516,51708,0.0
1678190218.159971,52411,0.0
1678190224.605156,52643,0.0
1678190505.723555,53401,0.0
1678190507.663258,53493,0.0
1678190508.395994,53504,0.0
1678190515.986777,54424,0.0
1678190556.792783,56342,0.0
1678190558.374975,56481,0.0
1678190567.460922,57422,0.0
1678190569.156239,57482,0.0
1678190570.872588,57680,0.0
1678190580.506076,58534,0.0
1678190583.472804,58757,0.0
1678190587.690366,59015,0.0
1678190594.99292,59831,0.0
1678190596.218708,59951,0.0
1678190597.242852,59987,0.0
1678190597.848699,60004,0.0
1678190601.053049,60405,0.0
1678190604.477856,60830,0.0
1678190622.484718,62432,0.0
1678190638.859809,64318,0.0
1678190646.239861,65134,0.0
1678190649.13674,65393,0.0
1678190655.323887,66097,0.0
1678190658.631885,66305,0.0
1678190665.613193,66942,0.0
1678190670.104645,67465,0.0
1678190677.090693,68045,0.0
1678190684.762041,68684,0.0
1678190712.528957,68694,0.0
1678190723.804357,69828,0.0
1678190725.101255,69940,0.0
1678190734.919353,70504,0.0
1678190747.162865,71004,0.0
1678190769.035224,71870,0.0
1678190788.746866,72588,0.0
1678190791.576287,72672,0.0
1678190792.663284,72686,0.0
1678190798.246386,72877,0.0
1678190806.228044,73122,0.0
1678190811.028068,73309,0.0
1678190831.171916,74131,0.0
1678190849.990988,74861,0.0
1678190857.176115,75104,0.0
1678190879.1557,75970,0.0
1678190890.526811,76334,0.0
1678190892.888935,76395,0.0
1678190918.613116,77326,0.0
1678190919.642129,77343,0.0
1678190936.619293,78033,0.0
1678190945.99378,78302,0.0
1678190961.348115,78872,0.0
1678190962.302596,78881,0.0
1678190978.203952,79316,0.0
1678190983.509533,79513,0.0
1678191006.04825,80318,0.0
1678191007.496788,80338,0.0
1678191009.143827,80371,0.0
1678191026.098632,80945,0.0
1678191075.1373,81704,0.0
1678191116.910583,83172,0.0
1678191118.8385,83227,0.0
1678191126.355959,83381,0.0
1678191130.810287,83537,0.0
1678191140.819791,83940,0.0
1678191142.828798,83981,0.0
1678191159.131691,84596,0.0
1678191160.336456,84614,0.0
1678191164.134962,84738,0.0
1678191227.974348,86736,0.0
1678191231.043399,86833,0.0
1678191245.065253,87365,0.0
1678191246.331338,87390,0.0
1678191250.423677,87535,0.0
1678191264.516458,88088,0.0
1678191266.294805,88107,0.0
1678191281.098287,88685,0.0
1678191295.77481,89256,0.0
1678191301.21922,89455,0.0
1678191317.516346,90071,0.0
1678191325.956225,90390,0.0
1678191338.716416,90819,0.0
1678191343.505174,90838,0.0
1678191358.810283,91311,0.0
1678191368.525735,91708,0.0
1678191384.756286,92284,0.0
1678191396.918408,92702,0.0
1678191409.306283,93217,0.0
1678191419.228179,93439,0.0
1678191444.67299,99849,0.0
1678191452.311488,100180,0.0
1678191458.275187,100559,0.0
1678191464.899658,101129,0.0
1678191467.252875,101208,0.0
1678191474.864675,101848,0.0
1678191518.763373,102323,0.0
1678191527.814074,102951,0.0
1678191530.312851,103052,0.0
1678191538.426982,103560,0.0
